,Potential,Element,1_0_0 surface energy,1_1_0 surface energy,1_1_1 surface energy,2_1_0 surface energy,2_1_1 surface energy,2_2_1 surface energy,3_1_0 surface energy,3_1_1 surface energy,3_2_0 surface energy,3_2_1 surface energy,3_2_2 surface energy,3_3_1 surface energy,3_3_2 surface energy,c_1_1 elastic constant,c_1_2 elastic constant,c_1_3  elastic constant,c_4_4  elastic constant,Shear modulus,Bulk modulus,Cohesive energy,Vacancy formation energy
42,Mishin-Ni-Al-Co-2013.eam.alloy,Al,0.9489285523612236,1.0131042674886317,1.2765012331403405,1.053040644435857,1.0886502818473858,0.982801408417449,1.0424274695587,1.0404311783534168,1.0507016779611698,1.033298535886504,0.9786388492680326,1.006454123671156,0.9725422389814504,113.8,61.5,61.5,31.6,29.4,78.9,3.36,0.6744999999999801
43,Mishin-Ni-Al-Co-2013.eam.alloy,Al,0.9489285523612236,1.0131042674886317,1.2765012331403387,1.053040644435857,0.9982718539485372,0.982801408417449,1.0437877311133141,1.0404311784398248,1.0507016779611698,1.0333763412106174,0.9764687777368117,1.056525487176666,0.9515546819089562,113.8,61.5,61.5,31.6,29.4,78.9,3.36,0.673749999999941
44,Mishin-Ni-Al-Co-2013.eam.alloy,Co,2.4866478839061523,2.612594978676969,2.33370232686929,2.6968368511115886,2.752519050471457,2.7759325609570618,2.7296266655834343,2.653242376297524,2.7169249917656972,2.73254394115507,2.6426260016485417,2.6844674361978464,2.5449217361102923,275.7,158.9,158.9,108.2,88.3,197.8,4.3848785,1.5535455999998096
45,Mishin-Ni-Co-2013.eam.alloy,Ni,1.9450488584585424,2.0967801820405705,2.9205664485589375,2.1963554108830032,2.2479862092750995,2.1737930558340826,2.1724631181746514,2.2460717430262664,2.185158333227674,2.1328776960545164,2.0322288822883223,2.2904753881015374,2.0409922933527036,241.3,150.8,150.8,127.3,94.5,181.0,4.45,1.5712000000001352
46,Mishin-Ni-Co-2013.eam.alloy,Co,2.4866478839061523,2.612594978676969,2.33370232686929,2.6968368511115886,2.752519050471457,2.7759325609570618,2.7296266655834343,2.653242376297524,2.7169249917656972,2.73254394115507,2.6426260016485417,2.6844674361978464,2.5449217361102923,275.7,158.9,158.9,108.2,88.3,197.8,4.3848785,1.5535455999998096
47,Mishin_updated-Al-Co-2013.eam.alloy,Al,0.9489285536761021,1.0131042733896012,0.8747859324267065,1.0530406449855039,0.9982404382790862,0.9829213257788666,1.042427469427543,1.0404177113785924,1.050414235075358,1.0337059169697291,0.9779075271576728,1.0064732660334375,0.9725432169594823,113.8,61.5,61.5,31.6,29.4,78.9,3.36,0.673749999999941
48,Mishin_updated-Al-Co-2013.eam.alloy,Co,2.4866479099293226,3.0429143157337544,2.333702270835959,2.696836879612481,2.6707345569669028,2.6341543367471907,2.729626656642001,2.6532264784337434,2.716924994924329,2.7320379990545387,2.6094140418084124,2.6841852018934595,2.543528671296829,275.8,159.0,159.0,108.2,88.3,197.9,4.3848785,1.553550649999809
49,Mishin_updated-Ni-Al-Co-2013.eam.alloy,Ni,1.945048876301011,2.096780159882525,2.641541035429335,2.196355409487726,2.0474281300448065,2.173701494172876,2.170329207507106,2.103681032269219,2.1851583246948336,2.1329524245003286,2.0334655881817363,2.0683109471143224,1.9869743327824498,241.3,150.8,150.8,127.3,94.5,181.0,4.45,1.5712000000001352
50,Mishin_updated-Ni-Al-Co-2013.eam.alloy,Al,0.9489285536761021,1.0131042733896012,0.8747859324267065,1.0530406449855039,0.9982404382790862,0.9829213257788666,1.042427469427543,1.0404177113785924,1.050414235075358,1.0337059169697291,0.9779075271576728,1.0064732660334375,0.9725432169594823,113.8,61.5,61.5,31.6,29.4,78.9,3.36,0.673749999999941
51,Mishin_updated-Ni-Al-Co-2013.eam.alloy,Co,2.4866479099293226,3.0429143157337544,2.333702270835959,2.696836879612481,2.6707345569669028,2.6341543367471907,2.729626656642001,2.6532264784337434,2.716924994924329,2.7320379990545387,2.6094140418084124,2.6841852018934595,2.543528671296829,275.8,159.0,159.0,108.2,88.3,197.9,4.3848785,1.553550649999809
52,Mishin_updated-Ni-Co-2013.eam.alloy,Ni,1.945048876301011,2.096780159882525,2.641541035429335,2.196355409487726,2.0474281300448065,2.173701494172876,2.170329207507106,2.103681032269219,2.1851583246948336,2.1329524245003286,2.0334655881817363,2.0683109471143224,1.9869743327824498,241.3,150.8,150.8,127.3,94.5,181.0,4.45,1.5712000000001352
53,Mishin_updated-Ni-Co-2013.eam.alloy,Co,2.4866479099293226,3.0429143157337544,2.333702270835959,2.696836879612481,2.6707345569669028,2.6341543367471907,2.729626656642001,2.6532264784337434,2.716924994924329,2.7320379990545387,2.6094140418084124,2.6841852018934595,2.543528671296829,275.8,159.0,159.0,108.2,88.3,197.9,4.3848785,1.553550649999809
54,newPP1_47-setfl.eam.alloy,Ta,1.8792727930252064,1.9800317593289265,1.598281128511287,2.1017149885460267,1.8917310749882161,1.8428944505914746,2.077178664655734,1.967783216256727,2.0781990142807376,1.9844507723718663,1.8317906812827696,1.904597866708892,1.7713274009137714,298.2,230.5,230.5,67.7,54.2,253.1,7.95151725,2.791699900000161
55,Ni99.eam.alloy,Ni,1.8874106367602488,2.0582748354116767,1.6329348986349699,2.1808222114953346,2.081171552956578,1.9178604643409611,2.1435331088680205,2.0441967699498775,2.1613459032857465,2.073165400800888,1.9452549825925791,1.9921539158073585,1.8911796526001583,247.9,147.8,147.8,124.8,94.9,181.2,4.45,1.5993999999998776
56,NiAl02.eam.alloy,Ni,1.2535047559099075,1.4828917115031677,1.0634886203742409,1.5940357992644751,1.3644176226929206,1.320103602548335,1.523195897870603,1.4381717527270377,1.5705447178087075,1.4723957515946877,1.3042171689115662,1.392299204419697,1.2963059425536658,635.1,315.7,315.7,136.1,145.5,422.2,4.50133525,0.563464800000105
57,NiAl02.eam.alloy,Al,1.0165582759413685,1.1180169946871767,1.4651253594206664,1.1679403855950874,1.1658645508532275,1.0926448138888516,1.1569037893259972,1.158698935532337,1.1668492154276706,1.1575789994509804,1.0854230262801154,1.252681078871383,1.0814049181192276,145.1,78.1,78.1,84.4,64.0,100.4,3.36217725,1.2620226999999735
58,NiAl.eam.alloy,Ni,1.9450488137079478,2.0967801641061024,1.762895421596872,2.1963553863057155,2.047433766147863,2.009945458119998,2.172463102662208,2.103764400671797,2.1852352880884984,2.132750269671474,1.9941440228398342,2.0683720015873317,1.9869080633957084,241.3,150.8,150.8,127.3,94.5,181.0,4.45,1.5712000000001352
59,NiAl.eam.alloy,Al,0.6044814202702762,0.7864986478550281,0.5934391007392743,0.842820080199865,0.7538695931839889,0.7299869682339778,0.7968328929499181,0.8282583417469269,0.8348788459432424,0.8162563488637157,0.7509964247741906,0.747748900420674,0.7209499847642338,116.8,60.1,60.1,31.7,30.4,79.0,3.36,0.7069200000000957
60,NiAlH_jea.eam.alloy,Ni,2.0699330350660516,2.3646376900766777,1.9341630559265037,2.446834571418525,2.3880345212646503,2.2332528214267984,2.386627826566213,2.3526539058879905,2.4446443715469814,2.38140719465107,2.2076533062619745,2.3102510504297866,2.198786026413374,246.7,147.5,147.5,125.0,94.8,180.6,4.45,1.5919000000001686
